ID,Time,API Call ID,Function Name,FADD.avg [inst],FADD.max [inst],FADD.min [inst],FADD.sum [inst],FFMA.avg [inst],FFMA.max [inst],FFMA.min [inst],FFMA.sum [inst],FMUL.avg [inst],FMUL.max [inst],FMUL.min [inst],FMUL.sum [inst]
154,2025-Nov-03 14:47:51,1191,get_by_2_pick_every_second,300,304,296,9600,0,0,0,0,0,0,0,0
155,2025-Nov-03 14:47:52,1193,horiz,1600,1920,1280,51200,1120,1344,896,35840,0,0,0,0
156,2025-Nov-03 14:47:54,1195,vert,2240,2240,2240,71680,2080,2080,2080,66560,0,0,0,0
157,2025-Nov-03 14:47:55,1197,horiz,1920,2304,1536,61440,1440,1728,1152,46080,0,0,0,0
158,2025-Nov-03 14:47:56,1199,vert,2880,2880,2880,92160,2720,2720,2720,87040,0,0,0,0
159,2025-Nov-03 14:47:57,1201,horiz,2080,2496,1664,66560,1600,1920,1280,51200,0,0,0,0
160,2025-Nov-03 14:47:58,1203,vert,3200,3200,3200,102400,3040,3040,3040,97280,0,0,0,0
161,2025-Nov-03 14:47:59,1206,horiz,2400,2880,1920,76800,1920,2304,1536,61440,0,0,0,0
162,2025-Nov-03 14:48:01,1208,vert,3840,3840,3840,122880,3680,3680,3680,117760,0,0,0,0
163,2025-Nov-03 14:48:02,1210,horiz,2880,3456,2304,92160,2400,2880,1920,76800,0,0,0,0
164,2025-Nov-03 14:48:03,1212,vert,4800,4800,4800,153600,4640,4640,4640,148480,0,0,0,0
165,2025-Nov-03 14:48:04,1215,get_by_2_pick_every_second,75,120,60,2400,0,0,0,0,0,0,0,0
166,2025-Nov-03 14:48:05,1217,horiz,400,640,0,12800,280,448,0,8960,0,0,0,0
167,2025-Nov-03 14:48:07,1219,vert,1120,1344,896,35840,1040,1248,832,33280,0,0,0,0
168,2025-Nov-03 14:48:08,1221,horiz,480,768,0,15360,360,576,0,11520,0,0,0,0
169,2025-Nov-03 14:48:09,1223,vert,1440,1728,1152,46080,1360,1632,1088,43520,0,0,0,0
170,2025-Nov-03 14:48:10,1225,horiz,520,832,0,16640,400,640,0,12800,0,0,0,0
171,2025-Nov-03 14:48:11,1227,vert,1600,1920,1280,51200,1520,1824,1216,48640,0,0,0,0
